model,model_config_id,fold,asset,regime_dimension,stressed_regime_value,reference_regime_value,stressed_n,reference_n,stressed_status,reference_status,contrast_status,headline_reportable,stressed_mae,reference_mae,stressed_rmse,reference_rmse,stressed_directional_accuracy,reference_directional_accuracy,stressed_mae_skill,reference_mae_skill,mae_skill_degradation,mae_raw_degradation,rmse_raw_degradation,da_degradation,directional_stability_loss,lstm_reportable_seed_count,lstm_seed_mae_skill_degradations,lstm_seed_signs,lstm_seed_sign_disagreement
lightgbm,LGBM_01,D3,MSFT,transition,transition,stable,57,194,reportable,reportable,reportable,True,0.018322554098982608,0.017057882914461316,0.022986211907754139,0.022167430478168524,0.49122807017543857,0.45360824742268041,-0.0066606007596270445,-0.010060347796033486,0.0033997470364064419,0.0012646711845212925,0.00081878142958561467,0.037619822752758159,-0.037619822752758159,,,,
lightgbm,LGBM_01,D3,GOOGL,trend,negative_trend,positive_trend,196,55,reportable,reportable,reportable,True,0.020184761714793151,0.014753151449703461,0.025638269492279819,0.02056721452529988,0.46938775510204084,0.36363636363636365,-0.0058036097472811132,-0.047248324280057874,0.041444714532776761,0.0054316102650896897,0.005071054966979939,0.10575139146567719,-0.10575139146567719,,,,
lightgbm,LGBM_01,D3,GOOGL,volatility,high_volatility,low_volatility,251,0,reportable,descriptive_low_n,descriptive_low_n,False,0.018994568230410951,,0.024616618645226438,,0.44621513944223107,,-0.012624044468728002,,,,,,,,,,
lightgbm,LGBM_01,D3,GOOGL,transition,transition,stable,57,194,reportable,reportable,reportable,True,0.01816396682207945,0.019238610912240307,0.022941017099847069,0.025087672164290923,0.45614035087719296,0.44329896907216493,-0.010048087824661156,-0.013340950453721412,0.0032928626290602558,-0.0010746440901608575,-0.0021466550644438538,0.012841381805028029,-0.012841381805028029,,,,
lightgbm,LGBM_01,D3,NVDA,trend,negative_trend,positive_trend,196,55,reportable,reportable,reportable,True,0.03273141807448321,0.029801011106664336,0.040480351277148302,0.038205407142820752,0.50510204081632648,0.41818181818181815,0.0020877735467380587,-0.016948075596791456,0.019035849143529515,0.0029304069678188736,0.00227494413432755,0.086920222634508326,-0.086920222634508326,,,,
lightgbm,LGBM_01,D3,NVDA,volatility,high_volatility,low_volatility,251,0,reportable,descriptive_low_n,descriptive_low_n,False,0.032089297025757954,,0.039992930399579969,,0.48605577689243029,,-0.0017280040576974631,,,,,,,,,,
lightgbm,LGBM_01,D3,NVDA,transition,transition,stable,57,194,reportable,reportable,reportable,True,0.032106813208141009,0.032084150518562934,0.039831030557928762,0.040040374484321857,0.54385964912280704,0.46907216494845361,0.006889682580400569,-0.0042903175403898874,0.011180000120790456,2.2662689578074879e-05,-0.0002093439263930949,0.074787484174353436,-0.074787484174353436,,,,
lightgbm,LGBM_03,D4,AAPL,trend,negative_trend,positive_trend,53,197,reportable,reportable,reportable,True,0.010325810217534214,0.0096156360878341274,0.012796301693685992,0.012790998271184739,0.62264150943396224,0.54314720812182737,0.015843238440604757,0.0042076346945759679,0.011635603746028789,0.00071017412970008666,5.3034225012526387e-06,0.079494301312134863,-0.079494301312134863,,,,
lightgbm,LGBM_03,D4,AAPL,volatility,high_volatility,low_volatility,135,115,reportable,reportable,reportable,True,0.010403595254963333,0.0090179381861964069,0.013446743542504927,0.011978091668089434,0.59259259259259256,0.52173913043478259,0.011065447021651686,0.0010586412560554814,0.010006805765596205,0.0013856570687669264,0.0014686518744154928,0.070853462157809965,-0.070853462157809965,,,,
lightgbm,LGBM_03,D4,AAPL,transition,transition,stable,3,247,descriptive_low_n,reportable,descriptive_low_n,False,0.0057322171085530671,0.0098151886619715703,0.0092490376814780839,0.012829143065466423,0.66666666666666663,0.5587044534412956,0.048502367555401493,0.0065310289238240671,0.041971338631577426,-0.0040829715534185032,-0.0035801053839883395,0.10796221322537103,-0.10796221322537103,,,,
