model,model_config_id,seed,fold,asset,regime_dimension,regime_value,n,mae,rmse,directional_accuracy,actual_positive_direction_balance,sample_size_status,matched_baseline_mae,mae_skill,matched_direction_persistence_da,da_difference
lightgbm,LGBM_01,1729,D1,GOOGL,trend,positive_trend,189,0.013560522351218761,0.018161720487951265,0.51322751322751325,0.57671957671957674,reportable,0.0135764918814662,0.0011762633813554579,0.46031746031746029,0.052910052910052963
lightgbm,LGBM_01,1729,D1,GOOGL,volatility,high_volatility,220,0.017271253000159754,0.02514385814578619,0.52727272727272723,0.55454545454545456,reportable,0.017424254098311165,0.008780926706425829,0.43181818181818182,0.095454545454545403
lightgbm,LGBM_01,1729,D1,GOOGL,volatility,low_volatility,33,0.012435722218105167,0.016334828155409271,0.51515151515151514,0.69696969696969702,reportable,0.012466733391491279,0.002487513963142729,0.45454545454545453,0.060606060606060608
lightgbm,LGBM_01,1729,D1,GOOGL,transition,transition,91,0.022219716993460942,0.031713150527530494,0.53846153846153844,0.56043956043956045,reportable,0.022571858564219522,0.015600911628818492,0.36263736263736263,0.17582417582417581
lightgbm,LGBM_01,1729,D1,GOOGL,transition,stable,162,0.013506544733504143,0.018653996081343535,0.51851851851851849,0.58024691358024694,reportable,0.013522833174096865,0.00120451390496501,0.47530864197530864,0.043209876543209846
lightgbm,LGBM_01,1729,D1,NVDA,trend,negative_trend,64,0.04130542720387579,0.055421625953526135,0.546875,0.546875,reportable,0.041597267237162526,0.00701584629641272,0.359375,0.1875
lightgbm,LGBM_01,1729,D1,NVDA,trend,positive_trend,189,0.020397673589442503,0.027279149879559372,0.59788359788359791,0.59788359788359791,reportable,0.020696093398823483,0.014419137159380258,0.49206349206349204,0.10582010582010587
lightgbm,LGBM_01,1729,D1,NVDA,volatility,high_volatility,220,0.027121285959666973,0.037952244248819711,0.57727272727272727,0.57727272727272727,reportable,0.027389379590445292,0.0097882330592052869,0.43636363636363634,0.14090909090909093
lightgbm,LGBM_01,1729,D1,NVDA,volatility,low_volatility,33,0.016121961767453064,0.024828093660606784,0.63636363636363635,0.63636363636363635,reportable,0.016609795322972003,0.029370232807399255,0.60606060606060608,0.030303030303030276
lightgbm,LGBM_01,1729,D1,NVDA,transition,transition,91,0.037429584967163837,0.050146073568402547,0.59340659340659341,0.59340659340659341,reportable,0.037904924887173876,0.012540320853422493,0.38461538461538464,0.20879120879120877
